2024-10-07 17:09:22 status half-installed libbz2-1.0:arm64 1.0.8-6
2024-10-07 17:09:22 status unpacked libbz2-1.0:arm64 1.0.8-6
2024-10-07 17:09:22 install libc-bin:arm64 <none> 2.40-1ubuntu3
2024-10-07 17:09:22 status half-installed libc-bin:arm64 2.40-1ubuntu3
2024-10-07 17:09:22 status unpacked libc-bin:arm64 2.40-1ubuntu3
2024-10-07 17:09:22 upgrade libc6:arm64 2.40-1ubuntu3 2.40-1ubuntu3
2024-10-07 17:09:22 status half-configured libc6:arm64 2.40-1ubuntu3
2024-10-07 17:09:22 status unpacked libc6:arm64 2.40-1ubuntu3
2024-10-07 17:09:22 status half-installed libc6:arm64 2.40-1ubuntu3
2024-10-07 17:09:22 status unpacked libc6:arm64 2.40-1ubuntu3
2024-10-07 17:09:22 install libcap-ng0:arm64 <none> 0.8.5-1
2024-10-07 17:09:22 status half-installed libcap-ng0:arm64 0.8.5-1
2024-10-07 17:09:22 status unpacked libcap-ng0:arm64 0.8.5-1
2024-10-07 17:09:22 install libcap2:arm64 <none> 1:2.66-5ubuntu3
2024-10-07 17:09:22 status half-installed libcap2:arm64 1:2.66-5ubuntu3
2024-10-07 17:09:22 status unpacked libcap2:arm64 1:2.66-5ubuntu3
2024-10-07 17:09:22 install libcom-err2:arm64 <none> 1.47.1-1ubuntu1
2024-10-07 17:09:22 status half-installed libcom-err2:arm64 1.47.1-1ubuntu1
2024-10-07 17:09:22 status unpacked libcom-err2:arm64 1.47.1-1ubuntu1
2024-10-07 17:09:22 install libcrypt1:arm64 <none> 1:4.4.36-4build1
2024-10-07 17:09:22 status half-installed libcrypt1:arm64 1:4.4.36-4build1
2024-10-07 17:09:22 status unpacked libcrypt1:arm64 1:4.4.36-4build1
2024-10-07 17:09:22 install libdb5.3t64:arm64 <none> 5.3.28+dfsg2-7
2024-10-07 17:09:22 status half-installed libdb5.3t64:arm64 5.3.28+dfsg2-7
2024-10-07 17:09:22 status unpacked libdb5.3t64:arm64 5.3.28+dfsg2-7
2024-10-07 17:09:23 install libdebconfclient0:arm64 <none> 0.272ubuntu1
2024-10-07 17:09:23 status half-installed libdebconfclient0:arm64 0.272ubuntu1
2024-10-07 17:09:23 status unpacked libdebconfclient0:arm64 0.272ubuntu1
2024-10-07 17:09:23 install libext2fs2t64:arm64 <none> 1.47.1-1ubuntu1
2024-10-07 17:09:23 status half-installed libext2fs2t64:arm64 1.47.1-1ubuntu1
2024-10-07 17:09:23 status unpacked libext2fs2t64:arm64 1.47.1-1ubuntu1
2024-10-07 17:09:23 install libgcc-s1:arm64 <none> 14.2.0-4ubuntu2
2024-10-07 17:09:23 status half-installed libgcc-s1:arm64 14.2.0-4ubuntu2
2024-10-07 17:09:23 status unpacked libgcc-s1:arm64 14.2.0-4ubuntu2
2024-10-07 17:09:23 install libgmp10:arm64 <none> 2:6.3.0+dfsg-2ubuntu7
2024-10-07 17:09:23 status half-installed libgmp10:arm64 2:6.3.0+dfsg-2ubuntu7
2024-10-07 17:09:23 status unpacked libgmp10:arm64 2:6.3.0+dfsg-2ubuntu7
2024-10-07 17:09:23 install liblzma5:arm64 <none> 5.6.2-2
2024-10-07 17:09:23 status half-installed liblzma5:arm64 5.6.2-2
2024-10-07 17:09:23 status unpacked liblzma5:arm64 5.6.2-2
2024-10-07 17:09:23 install libmd0:arm64 <none> 1.1.0-2build2
2024-10-07 17:09:23 status half-installed libmd0:arm64 1.1.0-2build2
2024-10-07 17:09:23 status unpacked libmd0:arm64 1.1.0-2build2
2024-10-07 17:09:23 install libmount1:arm64 <none> 2.40.2-1ubuntu1
2024-10-07 17:09:23 status half-installed libmount1:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:23 status unpacked libmount1:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:23 install libncursesw6:arm64 <none> 6.5-2
2024-10-07 17:09:23 status half-installed libncursesw6:arm64 6.5-2
2024-10-07 17:09:23 status unpacked libncursesw6:arm64 6.5-2
2024-10-07 17:09:23 install libpam-modules:arm64 <none> 1.5.3-7ubuntu2
2024-10-07 17:09:23 status half-installed libpam-modules:arm64 1.5.3-7ubuntu2
2024-10-07 17:09:23 status unpacked libpam-modules:arm64 1.5.3-7ubuntu2
2024-10-07 17:09:23 install libpam-modules-bin:arm64 <none> 1.5.3-7ubuntu2
2024-10-07 17:09:23 status half-installed libpam-modules-bin:arm64 1.5.3-7ubuntu2
2024-10-07 17:09:23 status unpacked libpam-modules-bin:arm64 1.5.3-7ubuntu2
2024-10-07 17:09:23 install libpam-runtime:all <none> 1.5.3-7ubuntu2
2024-10-07 17:09:23 status half-installed libpam-runtime:all 1.5.3-7ubuntu2
2024-10-07 17:09:23 status unpacked libpam-runtime:all 1.5.3-7ubuntu2
2024-10-07 17:09:23 install libpam0g:arm64 <none> 1.5.3-7ubuntu2
2024-10-07 17:09:23 status half-installed libpam0g:arm64 1.5.3-7ubuntu2
2024-10-07 17:09:23 status unpacked libpam0g:arm64 1.5.3-7ubuntu2
2024-10-07 17:09:23 install libpcre2-8-0:arm64 <none> 10.42-4ubuntu3
2024-10-07 17:09:23 status half-installed libpcre2-8-0:arm64 10.42-4ubuntu3
2024-10-07 17:09:23 status unpacked libpcre2-8-0:arm64 10.42-4ubuntu3
2024-10-07 17:09:23 install libproc2-0:arm64 <none> 2:4.0.4-4ubuntu5
2024-10-07 17:09:23 status half-installed libproc2-0:arm64 2:4.0.4-4ubuntu5
2024-10-07 17:09:23 status unpacked libproc2-0:arm64 2:4.0.4-4ubuntu5
2024-10-07 17:09:23 install libselinux1:arm64 <none> 3.5-2ubuntu5
2024-10-07 17:09:23 status half-installed libselinux1:arm64 3.5-2ubuntu5
2024-10-07 17:09:23 status unpacked libselinux1:arm64 3.5-2ubuntu5
2024-10-07 17:09:23 install libsemanage-common:all <none> 3.5-1build6
2024-10-07 17:09:23 status half-installed libsemanage-common:all 3.5-1build6
2024-10-07 17:09:23 status unpacked libsemanage-common:all 3.5-1build6
2024-10-07 17:09:23 install libsemanage2:arm64 <none> 3.5-1build6
2024-10-07 17:09:23 status half-installed libsemanage2:arm64 3.5-1build6
2024-10-07 17:09:23 status unpacked libsemanage2:arm64 3.5-1build6
2024-10-07 17:09:23 install libsepol2:arm64 <none> 3.7-1
2024-10-07 17:09:23 status half-installed libsepol2:arm64 3.7-1
2024-10-07 17:09:23 status unpacked libsepol2:arm64 3.7-1
2024-10-07 17:09:23 install libsmartcols1:arm64 <none> 2.40.2-1ubuntu1
2024-10-07 17:09:23 status half-installed libsmartcols1:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:23 status unpacked libsmartcols1:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:23 install libss2:arm64 <none> 1.47.1-1ubuntu1
2024-10-07 17:09:23 status half-installed libss2:arm64 1.47.1-1ubuntu1
2024-10-07 17:09:23 status unpacked libss2:arm64 1.47.1-1ubuntu1
2024-10-07 17:09:23 install libssl3t64:arm64 <none> 3.3.1-2ubuntu2
2024-10-07 17:09:23 status half-installed libssl3t64:arm64 3.3.1-2ubuntu2
2024-10-07 17:09:24 status unpacked libssl3t64:arm64 3.3.1-2ubuntu2
2024-10-07 17:09:24 install libsystemd0:arm64 <none> 256.5-2ubuntu3
2024-10-07 17:09:24 status half-installed libsystemd0:arm64 256.5-2ubuntu3
2024-10-07 17:09:24 status unpacked libsystemd0:arm64 256.5-2ubuntu3
2024-10-07 17:09:24 install libtinfo6:arm64 <none> 6.5-2
2024-10-07 17:09:24 status half-installed libtinfo6:arm64 6.5-2
2024-10-07 17:09:24 status unpacked libtinfo6:arm64 6.5-2
2024-10-07 17:09:24 install libudev1:arm64 <none> 256.5-2ubuntu3
2024-10-07 17:09:24 status half-installed libudev1:arm64 256.5-2ubuntu3
2024-10-07 17:09:24 status unpacked libudev1:arm64 256.5-2ubuntu3
2024-10-07 17:09:24 install libuuid1:arm64 <none> 2.40.2-1ubuntu1
2024-10-07 17:09:24 status half-installed libuuid1:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:24 status unpacked libuuid1:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:24 install libzstd1:arm64 <none> 1.5.6+dfsg-1
2024-10-07 17:09:24 status half-installed libzstd1:arm64 1.5.6+dfsg-1
2024-10-07 17:09:24 status unpacked libzstd1:arm64 1.5.6+dfsg-1
2024-10-07 17:09:24 install login:arm64 <none> 1:4.15.3-3ubuntu2
2024-10-07 17:09:24 status half-installed login:arm64 1:4.15.3-3ubuntu2
2024-10-07 17:09:24 status unpacked login:arm64 1:4.15.3-3ubuntu2
2024-10-07 17:09:24 install logsave:arm64 <none> 1.47.1-1ubuntu1
